"provinceId","provinceName","districtName","visitorTotal","spendingTotal","accommodationTotal","landPriceTotal","visitorZ","spendingZ","accommodationZ","landPriceZ","opportunityScore","intensity"
"seoul","서울특별시","성북구","2887616","2255650","55","837.9","-0.542813","-0.591252","-0.556722","-0.376021","-0.034029","0.277865"
"seoul","서울특별시","송파구","7752391","57764118","77","1471.7","-0.151608","0.365673","-0.317319","1.17981","-0.164842","0.160812"
"seoul","서울특별시","양천구","1442816","905583","13","918.1","-0.658997","-0.614526","-1.013766","-0.179149","0.014908","0.321655"
"seoul","서울특별시","영등포구","10968826","62089110","222","1099.5","0.107044","0.440233","1.260569","0.266146","-0.344559","0"
"seoul","서울특별시","용산구","20226671","68521325","85","2033.9","0.851521","0.551119","-0.230263","2.559881","-0.047177","0.266101"
"seoul","서울특별시","은평구","1838914","2877828","62","678.4","-0.627145","-0.580526","-0.480548","-0.767557","-0.011235","0.298262"
"seoul","서울특별시","종로구","28218679","63066139","313","1480.1","1.494205","0.457076","2.250829","1.20043","-0.271945","0.064975"
"seoul","서울특별시","중구","56627510","270217021","436","1122.5","3.778724","4.028204","3.589313","0.322606","0.772995","1"
"seoul","서울특별시","중랑구","992872","3023772","89","611.2","-0.69518","-0.57801","-0.186735","-0.932517","-0.093349","0.224785"
"incheon","인천광역시","강화군","695575","3982473","159","288.6","-0.4725","-0.397188","0.196484","-1.081903","-0.071284","0.262456"
"incheon","인천광역시","계양구","1463493","3525913","61","400.4","-0.417583","-0.409998","-0.956536","-0.072837","0.093495","0.415894"
"incheon","인천광역시","남동구","2514237","6790069","85","383","-0.342439","-0.318418","-0.674164","-0.229883","0.079408","0.402776"
"incheon","인천광역시","동구","382101","416307","44","354.2","-0.494919","-0.497241","-1.15655","-0.489821","0.197238","0.512496"
"incheon","인천광역시","미추홀구","1659159","3905719","184","396.6","-0.40359","-0.399342","0.490622","-0.107134","-0.32713","0.024218"
"incheon","인천광역시","부평구","2459421","5693318","178","438.2","-0.346359","-0.349189","0.420029","0.268332","-0.353138","0"
"incheon","인천광역시","서구","3240121","4921094","83","575.3","-0.290527","-0.370854","-0.697695","1.505747","-0.245137","0.100567"
"incheon","인천광역시","연수구","4929903","25527371","82","589.8","-0.169682","0.207278","-0.70946","1.636619","-0.161631","0.178326"
"incheon","인천광역시","옹진군","6797968","3405095","211","205.9","-0.036088","-0.413387","0.808291","-1.828324","0.067404","0.391598"
"incheon","인천광역시","중구","48883870","123226667","336","452.7","2.973686","2.94834","2.27898","0.399204","0.720774","1"
"gyeonggi","경기도","가평군","2902869","29538872","661","350.6","0.149915","1.906017","3.854372","-0.765503","-0.752643","0"
"gyeonggi","경기도","고양시","6341782","15466657","139","569.6","1.729399","0.539832","-0.098692","0.295997","0.716151","0.966643"
"gyeonggi","경기도","과천시","469003","42061","2","864.3","-0.967954","-0.957648","-1.136182","1.724418","-0.486975","0.174841"
"gyeonggi","경기도","광명시","1212610","7245507","55","1065.7","-0.626417","-0.258309","-0.734817","2.700611","-0.596075","0.103041"
"gyeonggi","경기도","광주시","1571525","29127408","57","489.2","-0.461568","1.86607","-0.719672","-0.093704","0.236622","0.651055"
"gyeonggi","경기도","구리시","573503","3303421","74","668.1","-0.919957","-0.641022","-0.590932","0.77343","-0.409491","0.225835"
"gyeonggi","경기도","군포시","857422","5004833","45","519.3","-0.789554","-0.475843","-0.810547","0.052192","-0.13068","0.409326"
"gyeonggi","경기도","김포시","4540675","8789076","70","508.7","0.902155","-0.108454","-0.621224","0.000813","0.536221","0.848227"
"gyeonggi","경기도","남양주시","2077612","5166520","104","534.7","-0.229123","-0.460145","-0.363744","0.126836","-0.053908","0.459852"
"gyeonggi","경기도","동두천시","794918","1427235","52","245","-0.818262","-0.82317","-0.757536","-1.27735","0.073109","0.543444"
"gyeonggi","경기도","부천시","3002708","7497235","166","420.7","0.195771","-0.233871","0.105777","-0.425726","0.108333","0.566626"
"gyeonggi","경기도","성남시","4384789","44618048","315","885.7","0.830557","3.369961","1.234142","1.828145","-0.066652","0.451464"
"gyeonggi","경기도","수원시","5762853","32759683","458","532.4","1.463498","2.218706","2.317069","0.115688","0.089012","0.55391"
"gyeonggi","경기도","시흥시","3367744","7970558","101","507.2","0.363431","-0.187918","-0.386463","-0.006458","0.243811","0.655786"
"gyeonggi","경기도","안산시","5991790","10459070","181","452","1.568649","0.053676","0.21937","-0.274014","0.621819","0.904561"
"gyeonggi","경기도","안성시","1725253","4170834","107","316","-0.390961","-0.55681","-0.341026","-0.93321","0.076884","0.545929"
"gyeonggi","경기도","안양시","1587428","7276628","155","608.9","-0.454264","-0.255288","0.022474","0.486486","-0.311274","0.290474"
"gyeonggi","경기도","양주시","1114152","2515606","116","424.8","-0.671638","-0.717506","-0.272869","-0.405853","-0.177374","0.378596"
"gyeonggi","경기도","양평군","786431","8105498","245","135.8","-0.82216","-0.174818","0.704037","-1.806646","-0.196228","0.366188"
"gyeonggi","경기도","여주시","980090","4293297","96","251.5","-0.733213","-0.544921","-0.424328","-1.245844","0.02869","0.514211"
"gyeonggi","경기도","연천군","191286","1521929","64","182.5","-1.095508","-0.813976","-0.666661","-1.580289","-0.003545","0.492997"
"gyeonggi","경기도","오산시","1078713","4779480","107","509.2","-0.687915","-0.497721","-0.341026","0.003237","-0.223278","0.348386"
"gyeonggi","경기도","용인시","5366567","10593627","154","524.6","1.281485","0.066739","0.014902","0.077881","0.499221","0.823877"
"gyeonggi","경기도","의왕시","698577","2215468","13","691","-0.862511","-0.746645","-1.05288","0.884427","-0.28069","0.310602"
"gyeonggi","경기도","의정부시","921967","3650985","190","491.2","-0.759908","-0.607279","0.287527","-0.08401","-0.434147","0.209609"
"gyeonggi","경기도","이천시","1430970","6746329","125","410","-0.526124","-0.306771","-0.204713","-0.477589","-0.084195","0.439919"
"gyeonggi","경기도","파주시","3231768","6011581","154","441.4","0.300978","-0.378104","0.014902","-0.325392","0.143189","0.589565"
"gyeonggi","경기도","평택시","8286343","11926999","249","592.6","2.622531","0.196188","0.734329","0.407479","0.766837","1"
"gyeonggi","경기도","포천시","1223849","5307639","173","216.4","-0.621255","-0.446445","0.158787","-1.415975","-0.057587","0.45743"
"gyeonggi","경기도","하남시","963617","1917370","34","820.6","-0.740779","-0.775585","-0.893849","1.512603","-0.408236","0.226661"
"gyeonggi","경기도","화성시","6431703","17642387","251","534.8","1.7707","0.75106","0.749475","0.127321","0.533079","0.84616"
"gangwon","강원특별자치도","강릉시","1017914","60311845","508","371.7","0.533331","1.319602","2.934532","0.820172","-0.699101","0.027239"
"gangwon","강원특별자치도","고성군","354247","39060713","139","150.2","-0.448151","0.498292","-0.231674","-0.653011","0.070673","0.468352"
"gangwon","강원특별자치도","동해시","466485","7350016","151","232.4","-0.282164","-0.727257","-0.128708","-0.106304","-0.125718","0.355811"
"gangwon","강원특별자치도","삼척시","502503","15044817","99","252.6","-0.228898","-0.42987","-0.574894","0.028045","0.032313","0.44637"
"gangwon","강원특별자치도","속초시","980842","44823841","269","210.9","0.478506","0.721024","0.883792","-0.249299","0.048227","0.455489"
"gangwon","강원특별자치도","양구군","129942","1221618","58","99.8","-0.77987","-0.964107","-0.926694","-0.988219","0.067293","0.466415"
"gangwon","강원특별자치도","양양군","504124","17160810","331","396.1","-0.226501","-0.348092","1.415783","0.982455","-0.746635","0"
"gangwon","강원특별자치도","영월군","136500","3826434","52","150.1","-0.770172","-0.863436","-0.978177","-0.653677","0.029776","0.444916"
"gangwon","강원특별자치도","원주시","946181","44126125","238","314","0.427247","0.694059","0.617796","0.436412","-0.032317","0.409334"
"gangwon","강원특별자치도","인제군","290460","2960470","86","144.9","-0.542484","-0.896904","-0.68644","-0.688261","0.036901","0.448999"
"gangwon","강원특별자치도","정선군","274497","35568581","150","147.3","-0.566091","0.363328","-0.137288","-0.672299","-0.014457","0.419568"
"gangwon","강원특별자치도","철원군","173424","1973358","66","123.8","-0.715566","-0.935054","-0.85805","-0.828596","0.043403","0.452725"
"gangwon","강원특별자치도","춘천시","3048152","15432895","244","378.9","3.535804","-0.414872","0.669279","0.868058","0.998439","1"
"gangwon","강원특별자치도","태백시","107886","2217857","74","122.8","-0.812488","-0.925604","-0.789406","-0.835247","-0.013684","0.420011"
"gangwon","강원특별자치도","평창군","988993","79848033","172","324.3","0.490561","2.074633","0.051483","0.504917","0.287259","0.592465"
"gangwon","강원특별자치도","홍천군","1176268","80011875","220","729.4","0.767518","2.080965","0.463347","3.199213","-0.263743","0.276717"
"gangwon","강원특별자치도","화천군","137180","934512","61","140.7","-0.769166","-0.975203","-0.900953","-0.716195","0.008338","0.432631"
"gangwon","강원특별자치도","횡성군","595466","19142503","70","181","-0.091417","-0.271504","-0.823728","-0.448162","0.273034","0.584313"
"chungbuk","충청북도","괴산군","455644","1844138","43","129.2","-0.354971","-0.661505","-0.623046","-0.646363","0.108048","0.763416"
"chungbuk","충청북도","단양군","195002","5800997","54","653.2","-0.644048","-0.247721","-0.503761","2.885047","-0.708273","0"
"chungbuk","충청북도","보은군","185069","1415147","77","103.4","-0.655064","-0.706366","-0.254345","-0.820238","-0.092311","0.576042"
"chungbuk","충청북도","영동군","216702","5645998","35","131","-0.61998","-0.26393","-0.7098","-0.634233","0.065401","0.723533"
"chungbuk","충청북도","옥천군","302495","933272","36","160.7","-0.524828","-0.756757","-0.698955","-0.434074","0.010895","0.672559"
"chungbuk","충청북도","음성군","1401548","3963200","91","282.8","0.694129","-0.439906","-0.102527","0.388798","0.186659","0.836932"
"chungbuk","충청북도","제천시","389783","29853254","147","146.5","-0.428017","2.267514","0.504746","-0.529773","0.010075","0.671793"
"chungbuk","충청북도","증평군","147275","896530","30","173.8","-0.696982","-0.7606","-0.76402","-0.345789","-0.056489","0.609543"
"chungbuk","충청북도","진천군","994778","3046308","69","211.8","0.242981","-0.535789","-0.341098","-0.089694","0.163882","0.815631"
"chungbuk","충청북도","청주시","3348546","24802443","359","309.1","2.853538","1.739332","2.803709","0.566043","0.361027","1"
"chungbuk","충청북도","충주시","895833","11667195","164","174.7","0.133242","0.365729","0.689097","-0.339724","-0.048915","0.616626"
"chungnam","충청남도","계룡시","62648","722840","23","340.2","-1.004926","-1.002499","-0.977938","0.869828","-0.382804","0"
"chungnam","충청남도","공주시","744542","3775101","139","250.2","-0.209886","-0.582472","-0.151913","0.020018","-0.100631","0.321394"
"chungnam","충청남도","금산군","309889","838796","57","142.5","-0.71666","-0.986542","-0.735827","-0.996922","0.034814","0.475666"
"chungnam","충청남도","논산시","603130","1863959","125","224.8","-0.374762","-0.845468","-0.251605","-0.219818","-0.115006","0.305021"
"chungnam","충청남도","당진시","1671760","5136824","117","292.1","0.871185","-0.395083","-0.308573","0.415652","0.318407","0.798677"
"chungnam","충청남도","보령시","716499","12694951","373","154.6","-0.242582","0.645004","1.514379","-0.88267","-0.310312","0.082568"
"chungnam","충청남도","부여군","267685","12424145","56","149.5","-0.765867","0.607738","-0.742948","-0.930826","0.163476","0.622212"
"chungnam","충청남도","서산시","1084029","5871809","166","262.5","0.185932","-0.29394","0.040352","0.136159","0.005641","0.442438"
"chungnam","충청남도","서천군","367421","1314714","62","136.9","-0.649582","-0.92105","-0.700222","-1.049799","0.068089","0.513566"
"chungnam","충청남도","아산시","2644342","15875373","208","414","2.005146","1.082667","0.33943","1.566673","0.495162","1"
"chungnam","충청남도","예산군","402091","16584980","127","255.8","-0.609159","1.180318","-0.237364","0.072895","-0.069002","0.35742"
"chungnam","충청남도","천안시","2885117","22989397","325","509.6","2.285873","2.061641","1.172576","2.46936","0.274868","0.749087"
"chungnam","충청남도","청양군","149774","769669","26","119.6","-0.903343","-0.996055","-0.956575","-1.213152","0.06866","0.514216"
"chungnam","충청남도","태안군","1583136","17221631","534","201","0.767855","1.267928","2.660845","-0.444545","-0.27541","0.122322"
"chungnam","충청남도","홍성군","376306","2033142","67","267.9","-0.639223","-0.822186","-0.664618","0.187147","-0.175952","0.235604"
"sejong","세종특별자치시","세종특별자치시","1134572","7390426","83","519.2","0","0","0","0","0","0.5"
"daejeon","대전광역시","대덕구","521590","3138427","83","303.3","-0.989318","-0.58259","-0.900295","-0.676739","-0.04855","0.557487"
"daejeon","대전광역시","동구","894986","2602330","149","344.4","0.120356","-0.647191","0.68001","-0.152935","-0.189993","0.458815"
"daejeon","대전광역시","서구","967274","6349176","80","319.4","0.335185","-0.195692","-0.972127","-0.471551","0.500453","0.94048"
"daejeon","대전광역시","유성구","1405173","24364444","103","510.5","1.636552","1.975165","-0.421415","1.963944","0.585773","1"
"daejeon","대전광역시","중구","483413","3411440","188","304.4","-1.102775","-0.549692","1.613826","-0.66272","-0.847683","0"
"jeonbuk","전북특별자치도","고창군","322398","2024378","75","295.2","-0.408011","-0.523018","-0.342986","1.410045","-0.394619","0.054688"
"jeonbuk","전북특별자치도","군산시","2917074","9989318","212","257.7","3.020744","0.744738","1.077851","0.93627","0.772162","1"
"jeonbuk","전북특별자치도","김제시","376918","1085003","63","149.2","-0.335965","-0.672535","-0.467439","-0.43452","0.025496","0.395061"
"jeonbuk","전북특별자치도","남원시","224772","4412398","91","152.1","-0.53702","-0.142924","-0.177049","-0.397881","-0.096409","0.296294"
"jeonbuk","전북특별자치도","무주군","159586","17956228","156","87.2","-0.62316","2.012807","0.497071","-1.217828","0.046461","0.412046"
"jeonbuk","전북특별자치도","부안군","1029058","6942015","132","168","0.52581","0.259708","0.248165","-0.197","0.201245","0.537451"
"jeonbuk","전북특별자치도","순창군","74615","428852","25","129","-0.735446","-0.776973","-0.86154","-0.689727","0.024532","0.394279"
"jeonbuk","전북특별자치도","완주군","640187","3517798","75","326","0.011934","-0.285314","-0.342986","1.799173","-0.280697","0.146987"
"jeonbuk","전북특별자치도","익산시","817482","5049470","161","189.6","0.246221","-0.041523","0.548926","0.075894","-0.08552","0.305117"
"jeonbuk","전북특별자치도","임실군","100352","209906","19","98.9","-0.701436","-0.811822","-0.923766","-1.07001","0.129376","0.479223"
"jeonbuk","전북특별자치도","장수군","98974","381440","13","128.2","-0.703257","-0.784519","-0.985993","-0.699834","0.07601","0.435987"
"jeonbuk","전북특별자치도","전주시","1567398","20279670","383","318.1","1.237204","2.382622","2.851304","1.699364","-0.46212","0"
"jeonbuk","전북특별자치도","정읍시","340043","1587592","98","165.6","-0.384694","-0.592539","-0.104452","-0.227322","-0.136332","0.26395"
"jeonbuk","전북특별자치도","진안군","167333","480765","10","105.5","-0.612923","-0.76871","-1.017106","-0.986626","0.180417","0.520575"
"jeonnam","전라남도","강진군","114151","1136541","39","124.3","-0.632956","-0.521533","-0.508921","-0.775581","0.002457","0.346343"
"jeonnam","전라남도","고흥군","457411","1707063","65","126.8","-0.427468","-0.430926","-0.299193","-0.746457","0.02497","0.356577"
"jeonnam","전라남도","곡성군","73356","563097","26","121.2","-0.657378","-0.612604","-0.613785","-0.811693","0.022263","0.355346"
"jeonnam","전라남도","광양시","3137180","4571499","109","212.1","1.176742","0.023987","0.055732","0.247231","0.40693","0.530207"
"jeonnam","전라남도","구례군","71699","2707180","69","105.9","-0.65837","-0.272093","-0.266927","-0.989928","-0.012493","0.339547"
"jeonnam","전라남도","나주시","444565","2165818","61","266.5","-0.435158","-0.358069","-0.331459","0.880954","-0.286623","0.214934"
"jeonnam","전라남도","담양군","198117","1392137","78","207.1","-0.582691","-0.480941","-0.194329","0.188984","-0.260669","0.226732"
"jeonnam","전라남도","목포시","1342326","9075628","306","217","0.102275","0.739305","1.644827","0.304312","-0.43947","0.145453"
"jeonnam","전라남도","무안군","396533","2033713","69","219.5","-0.463912","-0.379049","-0.266927","0.333436","-0.210079","0.249729"
"jeonnam","전라남도","보성군","186777","4621616","45","146.5","-0.58948","0.031946","-0.460522","-0.516965","0.008953","0.349296"
"jeonnam","전라남도","순천시","538329","4781641","250","300.6","-0.379027","0.05736","1.193105","1.278196","-0.759446","0"
"jeonnam","전라남도","신안군","5951080","4205492","71","94.7","2.861247","-0.03414","-0.250794","-1.120401","1.440403","1"
"jeonnam","전라남도","여수시","5613917","30911469","577","439.2","2.659409","4.207143","3.830842","2.892793","-0.243333","0.234613"
"jeonnam","전라남도","영광군","436500","1619685","50","139","-0.439986","-0.444803","-0.42019","-0.604335","0.026449","0.35725"
"jeonnam","전라남도","영암군","855988","3386800","65","154.5","-0.188865","-0.16416","-0.299193","-0.423771","0.08255","0.382752"
"jeonnam","전라남도","완도군","2514740","2218265","122","95","0.804126","-0.34974","0.160596","-1.116906","0.461879","0.555186"
"jeonnam","전라남도","장성군","176855","949094","29","187.9","-0.595419","-0.551302","-0.589586","-0.034683","-0.109485","0.295457"
"jeonnam","전라남도","장흥군","123361","909979","31","177.2","-0.627443","-0.557514","-0.573453","-0.159331","-0.102826","0.298484"
"jeonnam","전라남도","진도군","2018698","10288390","38","358.3","0.507177","0.931909","-0.516988","1.950362","0.061085","0.372994"
"jeonnam","전라남도","함평군","173041","390381","20","127.6","-0.597702","-0.640033","-0.662184","-0.737138","0.042998","0.364772"
"jeonnam","전라남도","해남군","795578","2562375","78","149.2","-0.225029","-0.29509","-0.194329","-0.485512","0.035881","0.361537"
"jeonnam","전라남도","화순군","152343","5052316","48","229.2","-0.610093","0.100347","-0.436323","0.446434","-0.192392","0.257769"
"gwangju","광주광역시","광산구","1307272","6727908","118","375.6","1.495483","0.47765","-0.060135","0.275649","0.608869","1"
"gwangju","광주광역시","남구","282460","559309","33","447.6","-1.149341","-1.359191","-1.763956","1.826174","-0.431704","0"
"gwangju","광주광역시","동구","342620","3755150","126","334.8","-0.994081","-0.407557","0.100225","-0.602982","-0.347859","0.080575"
"gwangju","광주광역시","북구","717875","3991598","186","338.5","-0.025627","-0.337149","1.302922","-0.523302","-0.330182","0.097564"
"gwangju","광주광역시","서구","988797","10585201","142","317.5","0.673566","1.626247","0.420944","-0.975539","0.500876","0.896217"
"gyeongbuk","경상북도","경산시","1538475","2835954","87","366.1","0.98781","-0.24319","-0.241313","1.665726","0.110054","0.424926"
"gyeongbuk","경상북도","경주시","3496150","45517351","412","220.3","3.439167","4.360279","2.691715","0.118615","0.980457","1"
"gyeongbuk","경상북도","고령군","259250","156025","15","166.7","-0.614007","-0.532237","-0.891091","-0.450145","0.05853","0.390884"
"gyeongbuk","경상북도","구미시","1295228","7648362","288","244.3","0.683221","0.27586","1.572652","0.373283","-0.245578","0.189961"
"gyeongbuk","경상북도","군위군","183314","224192","20","145","-0.709093","-0.524885","-0.845968","-0.680408","0.053746","0.387723"
"gyeongbuk","경상북도","김천시","569667","2921244","147","189.4","-0.22531","-0.23399","0.300169","-0.209271","-0.16172","0.245365"
"gyeongbuk","경상북도","문경시","349771","4279356","96","159.8","-0.500659","-0.087509","-0.16009","-0.523362","-0.056315","0.315006"
"gyeongbuk","경상북도","봉화군","218808","730991","26","104.3","-0.664648","-0.470224","-0.791819","-1.112283","0.147121","0.449416"
"gyeongbuk","경상북도","상주시","628203","1501939","57","169.7","-0.152013","-0.387072","-0.512054","-0.418312","0.137766","0.443235"
"gyeongbuk","경상북도","성주군","480557","1376915","35","175.6","-0.336892","-0.400556","-0.710597","-0.355706","0.109508","0.424565"
"gyeongbuk","경상북도","안동시","630151","6160023","180","226.2","-0.149573","0.115333","0.597984","0.181221","-0.263935","0.177832"
"gyeongbuk","경상북도","영덕군","724794","7492221","129","213.2","-0.031063","0.259019","0.137725","0.043275","-0.036496","0.328101"
"gyeongbuk","경상북도","영양군","118288","498005","10","79.6","-0.790517","-0.495353","-0.936215","-1.37438","0.189998","0.477745"
"gyeongbuk","경상북도","영주시","306748","2413211","102","188.4","-0.554531","-0.288785","-0.105942","-0.219882","-0.174932","0.236636"
"gyeongbuk","경상북도","영천시","509734","1557341","81","211.2","-0.300357","-0.381096","-0.295461","0.022053","-0.074025","0.303305"
"gyeongbuk","경상북도","예천군","156897","797027","39","283.1","-0.742171","-0.463101","-0.674498","0.784997","-0.297829","0.155438"
"gyeongbuk","경상북도","울릉군","1167012","2068425","129","524","0.522672","-0.325973","0.137725","3.341233","-0.533092","0"
"gyeongbuk","경상북도","울진군","680045","4418388","125","65.8","-0.087097","-0.072514","0.101626","-1.520814","0.231585","0.505221"
"gyeongbuk","경상북도","의성군","234295","824151","34","121.3","-0.645255","-0.460176","-0.719622","-0.931893","0.098145","0.417058"
"gyeongbuk","경상북도","청도군","270438","1986259","57","205.4","-0.599998","-0.334835","-0.512054","-0.039492","-0.111968","0.278236"
"gyeongbuk","경상북도","청송군","133529","4384611","43","257.3","-0.771432","-0.076157","-0.638399","0.511229","-0.226914","0.202291"
"gyeongbuk","경상북도","칠곡군","805587","1477835","94","233.6","0.070104","-0.389672","-0.17814","0.259743","-0.009432","0.345981"
"gyeongbuk","경상북도","포항시","2483895","15816355","410","259.5","2.171643","1.156832","2.673665","0.534573","0.075326","0.401981"
"daegu","대구광역시","남구","438385","1281818","43","323.9","-1.271363","-0.807468","-1.182406","-0.895262","-0.055518","0.599655"
"daegu","대구광역시","달서구","1351194","5258233","104","516.6","0.719576","-0.416296","0.385567","0.093587","0.111813","0.783468"
"daegu","대구광역시","달성군","929462","2294961","50","368.6","-0.200269","-0.707802","-1.002475","-0.665882","0.283031","0.971552"
"daegu","대구광역시","동구","1908902","19422769","169","469.9","1.935999","0.97711","2.056358","-0.146057","0.284415","0.973072"
"daegu","대구광역시","북구","1078048","9852610","86","411.7","0.123814","0.035666","-0.077113","-0.444713","0.165169","0.842079"
"daegu","대구광역시","서구","384313","1766961","107","333.6","-1.3893","-0.759743","0.462681","-0.845486","-0.601401","0"
"daegu","대구광역시","수성구","923609","31907166","52","607.2","-0.213035","2.205236","-0.951066","0.558505","0.308928","1"
"daegu","대구광역시","중구","1156341","4135899","101","955.4","0.294579","-0.526704","0.308454","2.345309","-0.496436","0.115304"
"gyeongnam","경상남도","거제시","4600533","15276954","283","247.9","1.457237","1.379378","0.708531","0.193325","0.469608","0.97845"
"gyeongnam","경상남도","거창군","164138","1215211","68","194.8","-0.612674","-0.726032","-0.538407","-0.384654","-0.07922","0.462348"
"gyeongnam","경상남도","고성군","329052","1468985","97","186.6","-0.535729","-0.688035","-0.370215","-0.473908","-0.077249","0.464202"
"gyeongnam","경상남도","김해시","2649983","9859949","259","301.7","0.547159","0.568311","0.569338","0.778922","-0.050891","0.488988"
"gyeongnam","경상남도","남해군","1171102","17548146","136","424.4","-0.14285","1.719435","-0.144026","2.114476","-0.264884","0.287756"
"gyeongnam","경상남도","밀양시","771158","3084617","109","207.7","-0.329454","-0.446133","-0.300618","-0.244241","-0.037361","0.501711"
"gyeongnam","경상남도","사천시","390004","4530702","156","183.6","-0.507291","-0.229616","-0.028032","-0.506562","-0.116156","0.427615"
"gyeongnam","경상남도","산청군","178782","748250","58","153.1","-0.605842","-0.795948","-0.596404","-0.838546","0.024699","0.560071"
"gyeongnam","경상남도","양산시","1260781","4271160","144","409.2","-0.101008","-0.268476","-0.097628","1.949029","-0.427768","0.134584"
"gyeongnam","경상남도","의령군","102069","344609","25","117.7","-0.641634","-0.856383","-0.787794","-1.223865","0.138819","0.667386"
"gyeongnam","경상남도","진주시","718222","5635898","256","348.3","-0.354152","-0.064139","0.551939","1.28615","-0.570887","0"
"gyeongnam","경상남도","창녕군","501238","3835783","71","134.6","-0.455392","-0.333664","-0.521007","-1.039913","0.148762","0.676736"
"gyeongnam","경상남도","창원시","8291678","23777367","794","310.4","3.179432","2.652111","3.672184","0.873619","0.260605","0.78191"
"gyeongnam","경상남도","통영시","4480686","12391389","214","262.4","1.401319","0.947334","0.308351","0.351153","0.492525","1"
"gyeongnam","경상남도","하동군","230692","2396960","70","200.7","-0.581622","-0.549093","-0.526807","-0.320434","-0.065429","0.475317"
"gyeongnam","경상남도","함안군","446890","738476","48","196.6","-0.480749","-0.797411","-0.654401","-0.365061","-0.002708","0.534298"
"gyeongnam","경상남도","함양군","154165","961537","40","142.3","-0.617327","-0.764013","-0.700798","-0.956101","0.078128","0.610313"
"gyeongnam","경상남도","합천군","149673","1070989","67","120.5","-0.619423","-0.747625","-0.544206","-1.193388","0.079408","0.611517"
"ulsan","울산광역시","남구","3050151","13645658","282","492.2","0.324816","1.616809","1.811608","1.348633","-0.521602","0.18572"
"ulsan","울산광역시","동구","2918215","9156227","67","360.7","0.225083","0.604523","-0.711033","-0.692164","0.502228","0.854534"
"ulsan","울산광역시","북구","4426845","2896872","45","415.4","1.365484","-0.806848","-0.969163","0.156746","0.724909","1"
"ulsan","울산광역시","울주군","2354454","5243826","153","309.3","-0.201074","-0.277653","0.298024","-1.489859","0.10037","0.592022"
"ulsan","울산광역시","중구","352606","1433416","91","448.9","-1.714309","-1.136831","-0.429436","0.676644","-0.805905","0"
"busan","부산광역시","강서구","12305742","4576932","44","442.1","2.47527","-0.434927","-1.067582","-0.396325","1.346155","1"
"busan","부산광역시","금정구","1150825","1347079","69","379.2","-1.034777","-0.572905","-0.779046","-0.745011","-0.088485","0.370963"
"busan","부산광역시","기장군","4208003","47737274","90","409.1","-0.072794","1.408868","-0.536676","-0.579261","0.388624","0.580158"
"busan","부산광역시","남구","4594499","10968021","53","695.5","0.048822","-0.161902","-0.963709","1.008397","0.090772","0.449561"
"busan","부산광역시","동구","5563113","7834871","176","497.6","0.35361","-0.295749","0.455886","-0.088661","-0.007165","0.406619"
"busan","부산광역시","동래구","610155","14152307","133","552.5","-1.204906","-0.02587","-0.040395","0.215677","-0.515566","0.183703"
"busan","부산광역시","부산진구","6468178","17838833","268","492.7","0.638401","0.131617","1.517698","-0.115824","-0.163622","0.338018"
